Cтек,Вход,Примечание
"<program>","int main( ) {if (abfbdf < dfjss ) { int b = 453 ; } }"
"<type> main( ) {<statement>}","int main( ) {if (abfbdf < dfjss ) { int b = 453 ; } }"
"int main( ) {<statement>}","int main( ) {if (abfbdf < dfjss ) { int b = 453 ; } }"
" main( ) {<statement>}"," main( ) {if (abfbdf < dfjss ) { int b = 453 ; } }"
"main( ) {<statement>}","main( ) {if (abfbdf < dfjss ) { int b = 453 ; } }"
"( ) {<statement>}","( ) {if (abfbdf < dfjss ) { int b = 453 ; } }"
" ) {<statement>}"," ) {if (abfbdf < dfjss ) { int b = 453 ; } }"
") {<statement>}",") {if (abfbdf < dfjss ) { int b = 453 ; } }"
" {<statement>}"," {if (abfbdf < dfjss ) { int b = 453 ; } }"
"{<statement>}","{if (abfbdf < dfjss ) { int b = 453 ; } }"
"<statement>}","if (abfbdf < dfjss ) { int b = 453 ; } }"
"<if> <statement> }","if (abfbdf < dfjss ) { int b = 453 ; } }"
"if (<bool_expression>) <statement> }","if (abfbdf < dfjss ) { int b = 453 ; } }"
" (<bool_expression>) <statement> }"," (abfbdf < dfjss ) { int b = 453 ; } }"
"(<bool_expression>) <statement> }","(abfbdf < dfjss ) { int b = 453 ; } }"
"<bool_expression>) <statement> }","abfbdf < dfjss ) { int b = 453 ; } }"
"<identifier> <relop> <identifier> ) <statement> }","abfbdf < dfjss ) { int b = 453 ; } }"
"<character><id_end> <relop> <identifier> ) <statement> }","abfbdf < dfjss ) { int b = 453 ; } }"
"a<id_end> <relop> <identifier> ) <statement> }","abfbdf < dfjss ) { int b = 453 ; } }"
"<id_end> <relop> <identifier> ) <statement> }","bfbdf < dfjss ) { int b = 453 ; } }"
"<character><id_end> <relop> <identifier> ) <statement> }","bfbdf < dfjss ) { int b = 453 ; } }"
"b<id_end> <relop> <identifier> ) <statement> }","bfbdf < dfjss ) { int b = 453 ; } }"
"<id_end> <relop> <identifier> ) <statement> }","fbdf < dfjss ) { int b = 453 ; } }"
"<character><id_end> <relop> <identifier> ) <statement> }","fbdf < dfjss ) { int b = 453 ; } }"
"f<id_end> <relop> <identifier> ) <statement> }","fbdf < dfjss ) { int b = 453 ; } }"
"<id_end> <relop> <identifier> ) <statement> }","bdf < dfjss ) { int b = 453 ; } }"
"<character><id_end> <relop> <identifier> ) <statement> }","bdf < dfjss ) { int b = 453 ; } }"
"b<id_end> <relop> <identifier> ) <statement> }","bdf < dfjss ) { int b = 453 ; } }"
"<id_end> <relop> <identifier> ) <statement> }","df < dfjss ) { int b = 453 ; } }"
"<character><id_end> <relop> <identifier> ) <statement> }","df < dfjss ) { int b = 453 ; } }"
"d<id_end> <relop> <identifier> ) <statement> }","df < dfjss ) { int b = 453 ; } }"
"<id_end> <relop> <identifier> ) <statement> }","f < dfjss ) { int b = 453 ; } }"
"<character><id_end> <relop> <identifier> ) <statement> }","f < dfjss ) { int b = 453 ; } }"
"f<id_end> <relop> <identifier> ) <statement> }","f < dfjss ) { int b = 453 ; } }"
"<id_end> <relop> <identifier> ) <statement> }"," < dfjss ) { int b = 453 ; } }"
" <relop> <identifier> ) <statement> }"," < dfjss ) { int b = 453 ; } }"
"<relop> <identifier> ) <statement> }","< dfjss ) { int b = 453 ; } }"
"< <identifier> ) <statement> }","< dfjss ) { int b = 453 ; } }"
" <identifier> ) <statement> }"," dfjss ) { int b = 453 ; } }"
"<identifier> ) <statement> }","dfjss ) { int b = 453 ; } }"
"<character><id_end> ) <statement> }","dfjss ) { int b = 453 ; } }"
"d<id_end> ) <statement> }","dfjss ) { int b = 453 ; } }"
"<id_end> ) <statement> }","fjss ) { int b = 453 ; } }"
"<character><id_end> ) <statement> }","fjss ) { int b = 453 ; } }"
"f<id_end> ) <statement> }","fjss ) { int b = 453 ; } }"
"<id_end> ) <statement> }","jss ) { int b = 453 ; } }"
"<character><id_end> ) <statement> }","jss ) { int b = 453 ; } }"
"j<id_end> ) <statement> }","jss ) { int b = 453 ; } }"
"<id_end> ) <statement> }","ss ) { int b = 453 ; } }"
"<character><id_end> ) <statement> }","ss ) { int b = 453 ; } }"
"s<id_end> ) <statement> }","ss ) { int b = 453 ; } }"
"<id_end> ) <statement> }","s ) { int b = 453 ; } }"
"<character><id_end> ) <statement> }","s ) { int b = 453 ; } }"
"s<id_end> ) <statement> }","s ) { int b = 453 ; } }"
"<id_end> ) <statement> }"," ) { int b = 453 ; } }"
" ) <statement> }"," ) { int b = 453 ; } }"
") <statement> }",") { int b = 453 ; } }"
" <statement> }"," { int b = 453 ; } }"
"<statement> }","{ int b = 453 ; } }"
"{ <statement> } }","{ int b = 453 ; } }"
" <statement> } }"," int b = 453 ; } }"
"<statement> } }","int b = 453 ; } }"
"<declaration> ; } }","int b = 453 ; } }"
"<type> <identifier> <assign> ; } }","int b = 453 ; } }"
"int <identifier> <assign> ; } }","int b = 453 ; } }"
" <identifier> <assign> ; } }"," b = 453 ; } }"
"<identifier> <assign> ; } }","b = 453 ; } }"
"<character><id_end> <assign> ; } }","b = 453 ; } }"
"b<id_end> <assign> ; } }","b = 453 ; } }"
"<id_end> <assign> ; } }"," = 453 ; } }"
" <assign> ; } }"," = 453 ; } }"
"<assign> ; } }","= 453 ; } }"
"= <assign_end> ; } }","= 453 ; } }"
" <assign_end> ; } }"," 453 ; } }"
"<assign_end> ; } }","453 ; } }"
"<number> ; } }","453 ; } }"
"<digit><number_end> ; } }","453 ; } }"
"4<number_end> ; } }","453 ; } }"
"<number_end> ; } }","53 ; } }"
"<digit><number_end> ; } }","53 ; } }"
"5<number_end> ; } }","53 ; } }"
"<number_end> ; } }","3 ; } }"
"<digit><number_end> ; } }","3 ; } }"
"3<number_end> ; } }","3 ; } }"
"<number_end> ; } }"," ; } }"
" ; } }"," ; } }"
"; } }","; } }"
" } }"," } }"
"} }","} }"
" }"," }"
"}","}"
